	HPLM-400_Exp1	HPLM-400_Exp2	HPLM-400_Exp3	HPLM-6k_Exp1	HPLM-6k_Exp2	HPLM-6k_Exp3	HPLM-60k_Exp1	HPLM-60k_Exp2	HPLM-60k_Exp3	HG-HPLM-400_Exp1	HG-HPLM-400_Exp2	HG-HPLM-400_Exp3	HG-HPLM-6k_Exp1	HG-HPLM-6k_Exp2	HG-HPLM-6k_Exp3	HG-HPLM-60k_Exp1	HG-HPLM-60k_Exp2	HG-HPLM-60k_Exp3	400_Exp1	400_Exp2	400_Exp3	6k_Exp1	6k_Exp2	6k_Exp3	60k_Exp1	60k_Exp2	60k_Exp3	HG-400_Exp1	HG-400_Exp2	HG-400_Exp3	HG-6k_Exp1	HG-6k_Exp2	HG-6k_Exp3	HG-60k_Exp1	HG-60k_Exp2	HG-60k_Exp3
Glycerol	79226141.0	62909669.0	85781517.0	54760631.0	60991022.0	70860609.0	39893422.0	42771386.0	29656103.0	91774019.0	66775612.0	74274079.0	69385922.0	59757722.0	93484956.0	43921519.0	36649602.0	49472481.0	2428295.0	1142821.0	1328342.0	1633738.0	841022.0	991132.0	3135246.0	807976.0	536388.0	12791011.0	8005934.0	11377088.0	4701725.0	7261786.0	8725056.0	2338088.0	3828779.0	4081142.0
Glycerol-3-P	847514.0	618259.0	963869.0	498139.0	258121.0	660024.0	597370.0	1070791.0	688351.0	1003266.0	126338.0	488316.0	268585.0	292295.0	644477.0	831306.0	278063.0	560699.0		188333.0		169594.0	303508.0	186327.0	281883.0	689573.0	216049.0	161612.0	201908.0	493504.0	418189.0	248011.0	560907.0	605601.0	393275.0	708220.0
GMP	271138.0	179470.0	740753.0	475877.0	265279.0	322585.0	489868.0	386956.0	1031158.0	360876.0	138597.0	258493.0	546562.0	416624.0	593862.0	629908.0	259803.0	769958.0	108539.0	193745.0	139992.0	65541.0	65529.0	282216.0	327919.0	572161.0	614398.0	258856.0	321121.0	175985.0	64054.0	255669.0	478965.0	361958.0	985599.0	676724.0
GSH	3298382.0	8777980.0	3228045.0	33252751.0	18017782.0	13963658.0	55986277.0	21746317.0	100874645.0	4353262.0	9108152.0	4473058.0	21903403.0	44816358.0	26468166.0	53972212.0	78469580.0	25320266.0	541495.0	3681001.0	2051787.0	2869104.0	9873480.0	7228532.0	12533017.0	10900651.0	34119838.0	1044072.0	1635515.0	1125488.0	16567587.0	6697520.0	5090224.0	58651492.0	20207313.0	15007864.0
GSH/GSSG	0.0174488098882856	0.0417738299351053	0.0165190951553296	0.11807490788185	0.0677435110157816	0.0565749063684448	0.15025157419856	0.0622236880822632	0.273649056452156	0.0289152681195011	0.0546944125005368	0.0257808790408425	0.0964530183913186	0.191811534449288	0.117813848752128	0.171145890901189	0.262468977101311	0.0866295351244194	0.0114822992096818	0.0766270684619059	0.0417368438503672	0.0348162711008959	0.108029436672422	0.0788217138799391	0.0731814905979108	0.0651106641069709	0.195905818806525	0.01701378450083	0.0255235992342585	0.0186631685993906	0.141824682688039	0.05518600293016	0.0455888246484936	0.225116209496574	0.0827911956977171	0.0659446044923543
GSSG	189031918.0	210131080.0	195412943.0	281624196.0	265970596.0	246817165.0	372616908.0	349486147.0	368627783.0	150552365.0	166528016.0	173502928.0	227088829.0	233647878.0	224660906.0	315357919.0	298967066.0	292282141.0	47159109.0	48037868.0	49160090.0	82406987.0	91396200.0	91707369.0	171259384.0	167417291.0	174164495.0	61366241.0	64078541.0	60305301.0	116817374.0	121362658.0	111655083.0	260538733.0	244075627.0	227582895.0
GTP	425901.0	1070905.0	477637.0	1069932.0	1648478.0	2746605.0	269074.0	179650.0	723964.0	173705.0	109854.0	728655.0	327346.0	68800.0	709418.0	1098870.0	717831.0	1121469.0	182657.0	182614.0	487887.0	343003.0	354226.0	423436.0		287858.0	424915.0		79561.0		4165466.0	4232460.0	3708514.0	6290042.0	5158912.0	9726864.0
His	407156859.0	394024862.0	365064637.0	553496063.0	586091921.0	702436966.0	930700136.0	1124406217.0	465720496.0	386459125.0	378121909.0	426179995.0	739402741.0	523960272.0	616533376.0	441957855.0	463828844.0	810794541.0	724929973.0	844453004.0	1145598309.0	2090193566.0	2257782094.0	2730716468.0	5564644150.0	4992558427.0	4882114625.0	658993838.0	768192522.0	793419763.0	1156198005.0	1114175109.0	1026832880.0	4625025252.0	4262225179.0	4452882274.0
Homocysteine	1343335442.0	1252917498.0	1377183619.0	890519400.0	881543150.0	760481877.0	528410561.0	530934201.0	531256420.0	1308186819.0	1149361803.0	1174967924.0	725643258.0	732489400.0	733020282.0	592573699.0	512799184.0	516503420.0	3720237.0	3524985.0	4163643.0	3575675.0	3577673.0	3363187.0	3010968.0	3200487.0	2699791.0	16759368.0	16736688.0	18112227.0	12240602.0	13001356.0	15467806.0	6048671.0	7091675.0	6731176.0
HS2O3	6518542.0	6948006.0	6003513.0	2122741.0	2754425.0	5243786.0	3452787.0	4016502.0	2327939.0	6935570.0	3312622.0	3438553.0	4507579.0	851619.0	3692789.0	4017309.0	3627751.0	7733121.0	11266738.0	6566677.0	9036853.0	3499870.0	1644862.0	1972152.0	3487188.0	5358349.0	3536077.0	13317663.0	10529924.0	12950714.0	2119584.0	3914319.0	4247394.0	4767091.0	5339913.0	7342220.0
Hypoxanthine	5634665658.0	7400879134.0	5874855358.0	4474263530.0	3798404072.0	3163809138.0	2336804077.0	2031750855.0	3371830656.0	6555598933.0	8007050296.0	6913063735.0	3351943638.0	4419905213.0	3732537882.0	3665691142.0	3733880180.0	2080960221.0	27129099.0	28023242.0	24526024.0	18482104.0	22895794.0	18098037.0	2434937.0	2577463.0	3859119.0	127604612.0	139121087.0	137565798.0	87389436.0	69214237.0	91835536.0	6329540.0	7479814.0	6103948.0
IMP			59676.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			91725.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62123.0	59250.0			74398.0	
Inosine	4878974.0	6679706.0	4896598.0	5900476.0	3025435.0	3507398.0	3461651.0	4679994.0	6057066.0	7370748.0	7749998.0	8430408.0	2362522.0	3933981.0	3300479.0	3707308.0	1941723.0	3655942.0	496419.0		497420.0	320730.0				308516.0	214260.0	322301.0		318747.0	721787.0		306706.0	0.0	0.0	0.0
Inositol	11353357275.0	10706253689.0	11565848336.0	9434183038.0	10096490582.0	9798053457.0	8240522500.0	9186673998.0	7742283875.0	11141313048.0	9958735267.0	10223852059.0	8936128527.0	8569783134.0	9316539736.0	8333102298.0	7629274933.0	8203209572.0	4867854019.0	3675745169.0	3890306408.0	3805380746.0	3226618357.0	3356187103.0	3868940994.0	4241885495.0	3677067361.0	4701458363.0	4042848379.0	4343199763.0	3602232740.0	4077277387.0	4189398150.0	3870591030.0	4360425937.0	4125272094.0
Lac	4677561928.0	4308267661.0	4830788023.0	3652371282.0	3601406981.0	3623690112.0	2557946099.0	2818356803.0	2463983358.0	5141081648.0	4346498593.0	4485039876.0	3422485783.0	3475625409.0	3580446706.0	2571853151.0	2635567531.0	2670009812.0	525900180.0	513758737.0	493362683.0	393315084.0	332158156.0	311609036.0	255716525.0	301471576.0	268805893.0	776682155.0	664007302.0	736899263.0	524137309.0	513883121.0	457554980.0	321389511.0	386316666.0	302804386.0
Leu/Ile	17616558962.0	19107101158.0	17413460753.0	15781712750.0	14466024087.0	14218489489.0	12620044752.0	11947017348.0	12959145855.0	29279246543.0	31595658136.0	30050326388.0	20924506020.0	22234863518.0	19176530766.0	19117743660.0	18797272881.0	16875153000.0	67228654519.0	70285055411.0	65281782557.0	49465390450.0	51920312621.0	50861305421.0	37884160835.0	36604562778.0	39243653003.0	69228357725.0	77188175226.0	72375820988.0	57150729548.0	52432315375.0	55422030635.0	41866134068.0	39976619080.0	39731305499.0
Lys	481563362.0	563100997.0	520695106.0	385295366.0	350254582.0	327500283.0	283016870.0	257424491.0	248548471.0	497951527.0	547856911.0	570768716.0	300252539.0	325847964.0	299570451.0	290323902.0	238101591.0	231554719.0	1943018404.0	1883501904.0	2011864408.0	1213825141.0	1171828870.0	1245681800.0	840356645.0	792694175.0	773147517.0	1667632093.0	1684818844.0	1569220186.0	958986331.0	924991773.0	929572053.0	691373845.0	653074865.0	639757751.0
Mal	555331291.0	515396944.0	581445809.0	528085885.0	588920118.0	573234733.0	594217528.0	651713136.0	583068746.0	541891419.0	462198215.0	485232130.0	570826828.0	508843915.0	610042760.0	558832586.0	547119854.0	574472189.0	244327390.0	241524970.0	238810243.0	323420415.0	308146999.0	301211886.0	373240734.0	439810051.0	394831147.0	271253122.0	254456650.0	294567560.0	366417968.0	375922819.0	397870709.0	439118818.0	517373831.0	488643870.0
Met	1897477130.0	1896634134.0	1931001318.0	1600538799.0	1518122943.0	1503842930.0	1267459546.0	1263541624.0	1235652642.0	1928347057.0	1918613253.0	1881256362.0	1384853184.0	1431228829.0	1381546655.0	1198674780.0	1155315640.0	1186452996.0	11843139456.0	11456365174.0	11046854776.0	9012394917.0	8577430563.0	8788929565.0	5939557788.0	6078213305.0	5998529373.0	10117686718.0	10077305617.0	10070982798.0	7529852985.0	7493820600.0	7755807444.0	4998407843.0	5264400275.0	5327208217.0
NAD+	13245347.0	16673540.0	14685552.0	26584113.0	24929032.0	19405344.0	29055698.0	27370760.0	33215590.0	10958061.0	13106192.0	12966234.0	19933443.0	24053144.0	19823109.0	25127850.0	26657064.0	21092190.0	11640570.0	12906763.0	12479148.0	19109857.0	21733789.0	20087799.0	31027398.0	29107210.0	36645240.0	11119424.0	10923828.0	10474834.0	16311187.0	18508721.0	15017840.0	33092493.0	28914489.0	28197743.0
NADH	5000766.0	5247711.0	4938516.0	9022891.0	9343871.0	8454388.0	11625422.0	10909663.0	10314979.0	5294428.0	6028368.0	4327835.0	10744681.0	11509518.0	10025767.0	11235196.0	8457057.0	8801912.0	3378840.0	4507894.0	3357394.0	5852399.0	5651344.0	6444890.0	8713780.0	8439008.0	9032371.0	2832867.0	3275932.0	2200671.0	6511905.0	6304183.0	6621037.0	9754842.0	10020155.0	10791028.0
NADP+	1458017.0	1999400.0	1450409.0	2803001.0	1598636.0	2298192.0	3009698.0	3222705.0	5363020.0	1014691.0	1244447.0	1878259.0	2599940.0	2408157.0	3521001.0	2632123.0	1082489.0	2248298.0	2768620.0	1596611.0	2336541.0	2057800.0	1995501.0	2281175.0	1989957.0	4061666.0	3007443.0	1692038.0	1379245.0	2540510.0	2664390.0	2915474.0	3270508.0	3508343.0	3936292.0	3772539.0
NADPH	1320994.0	2337080.0	1695500.0	3583589.0	2912676.0	2491626.0	3437183.0	3552053.0	3006729.0	568634.0	858955.0	666378.0	2120925.0	2746060.0	1934318.0	2217245.0	1877080.0	2689965.0	612457.0	804279.0	1240557.0	1747769.0	1183252.0	1200813.0	1298669.0	1188133.0	1686751.0	830278.0	938309.0	713866.0	1502469.0	1744266.0	2050869.0	4000689.0	3510434.0	2485638.0
Nicotinamide	6421680695.0	6247087850.0	6714498277.0	5610460272.0	6030765861.0	5538557732.0	4385505505.0	4684742772.0	4259565520.0	7208659648.0	6969694425.0	6515718879.0	5736990037.0	5644822201.0	6258367285.0	4366709841.0	4352565950.0	4606290440.0	21122783392.0	19880659012.0	19151092254.0	16458425956.0	15454291882.0	15432515395.0	11229018830.0	12442594649.0	11686231949.0	18577972930.0	17835107069.0	17854145602.0	13969510161.0	15073025043.0	14666710898.0	9800578506.0	10751449357.0	9948438290.0
Ornithine	206435663.0	246721835.0	224687574.0	167867372.0	150443741.0	142864846.0	119031021.0	111170881.0	100021815.0	209020874.0	238758228.0	235913569.0	130010547.0	140544063.0	130080148.0	126690881.0	96553298.0	100191535.0	25838598.0	30391932.0	34701625.0	17627064.0	17175216.0	19301788.0	14022446.0	13944665.0	12972021.0	32643416.0	38116134.0	27874060.0	19167935.0	17880697.0	17366416.0	11740385.0	12975594.0	12016152.0
Orotidine	52723260.0	56743544.0	55982097.0	93118807.0	81571945.0	76583577.0	98170052.0	91515513.0	96117028.0	28200320.0	30190838.0	30253262.0	73536801.0	84687222.0	77806325.0	89328244.0	84003831.0	70711312.0	2796088.0	2612292.0	2231944.0	2719486.0	2349160.0	2033221.0	2692644.0	3310236.0	3694893.0	2190108.0	2136745.0	1268345.0	2775087.0	4617322.0	2903504.0	4449291.0	4150253.0	3804877.0
P-Choline	161689049.0	156498892.0	151940186.0	203724439.0	206372180.0	212925487.0	235899655.0	235122836.0	242403012.0	144551187.0	133234136.0	141003786.0	218982943.0	206853353.0	199914172.0	225102379.0	219868628.0	233290595.0	90349567.0	88209964.0	88681358.0	108004839.0	96219138.0	97230408.0	133503580.0	147688666.0	137270806.0	93835952.0	93777747.0	99939557.0	113469512.0	114619559.0	125755753.0	158104555.0	162698949.0	191053311.0
P-Creatine	238000385.0	241296709.0	231185157.0	309719978.0	293104084.0	288161102.0	367122862.0	354830412.0	370950760.0	183644696.0	205827066.0	198086460.0	277865048.0	302430010.0	279234463.0	305779382.0	303851302.0	293273824.0	40926518.0	39035783.0	40745942.0	50822811.0	51815985.0	51007863.0	63684179.0	67102609.0	71235065.0	38503170.0	39232889.0	38783120.0	52680236.0	47643408.0	45296588.0	70856239.0	68970429.0	72029280.0
P-EtA	2753865.0	3031843.0	3137888.0	1143665.0	1633737.0	1563736.0	615825.0	482509.0	422053.0	3408075.0	3272845.0	3545840.0	380911.0	629765.0	694618.0	381617.0	385506.0	448404.0	2860043.0	2622837.0	2450564.0	2451401.0	1638392.0	2408609.0	1464031.0	2241794.0	1532568.0	2405995.0	2217956.0	2190073.0	877987.0	1434466.0	1193501.0	1415220.0	1790502.0	1788579.0
P-Ser	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55562.0			0.0	0.0	0.0	71200.0		74745.0	67965.0	64882.0	115185.0
Palmitate	2573611803.0	2008235545.0	2412009871.0	2150828277.0	2320216194.0	1960306534.0	1653161704.0	1607583351.0	1639827111.0	1639675805.0	1477811585.0	1404877529.0	1796570770.0	1765752851.0	1655111508.0	1440328730.0	1648400110.0	1855049776.0	2264908544.0	2224576010.0	2174143327.0	2362019443.0	2090623609.0	2542478341.0	1729980625.0	2088151736.0	2135363497.0	2195602129.0	2232336770.0	3473444430.0	2224899522.0	3460601123.0	2411702891.0	2771992101.0	2351517565.0	2013698821.0
Pantothenate	81949290.0	83189600.0	77451890.0	63864444.0	58668136.0	62373881.0	56595720.0	61773178.0	58958150.0	102119165.0	95417739.0	95632258.0	60604276.0	66395457.0	60126651.0	60130101.0	62025549.0	53075275.0	2082753915.0	1860524604.0	1994777632.0	1114759317.0	996310089.0	1048539442.0	708330949.0	700934833.0	679551777.0	1809633955.0	1689523362.0	1698791414.0	808619841.0	855110061.0	818998519.0	607678841.0	623168556.0	570355314.0
Phe	13757624957.0	14339181097.0	13393510818.0	10802654052.0	10005985901.0	9970188680.0	8266622440.0	7846185673.0	7897724669.0	14554306180.0	15010909345.0	14341804989.0	9568066417.0	9813379943.0	9247789703.0	8325103387.0	7731928462.0	7763478244.0	45699746955.0	45730019987.0	42490016921.0	31500242555.0	31605089937.0	31230655515.0	21969630177.0	21695588122.0	22645168932.0	37389657470.0	39754764551.0	38031148205.0	27010408603.0	26385886348.0	28243655381.0	19147309077.0	19432010691.0	19223082443.0
PO4	7455477912.0	9977820986.0	8080496109.0	5112496382.0	5919047443.0	7006139848.0	7295311247.0	6833871522.0	7369877340.0	7884157464.0	6905734937.0	5706544191.0	7501285136.0	4249848547.0	7276440749.0	8924717576.0	8251497421.0	9436394046.0	6647740011.0	5976983658.0	5345884507.0	4753205926.0	4440530843.0	4247014190.0	4940166262.0	5561470750.0	4809769850.0	8493949836.0	8995455194.0	7335549445.0	6121600633.0	7012444587.0	6381153706.0	6207632474.0	6598677136.0	7735331861.0
Pro	13934498645.0	14275888055.0	13796537054.0	11678371594.0	11326453261.0	11016295381.0	9092705899.0	8887084070.0	9007567187.0	14959943967.0	15393191213.0	14623021741.0	10876795403.0	11178317204.0	10767275170.0	9434460886.0	9251251362.0	8873024325.0	887372718.0	738953139.0	700389495.0	647155460.0	558257020.0	555329765.0	486403526.0	537923878.0	475622729.0	1356539183.0	1278851668.0	1329445219.0	858874209.0	931374900.0	936161747.0	590615059.0	670081714.0	670747551.0
Pro-OH	1598226827.0	1990924074.0	1744377986.0	1141830046.0	1052304473.0	1078262558.0	916548004.0	888460917.0	890013376.0	1984071170.0	2181124843.0	1850755356.0	1024977135.0	1023972751.0	964828715.0	876907008.0	872591536.0	860446849.0	81514913.0	41158218.0	31274829.0	23110900.0	22143536.0	22117673.0	16914208.0	18766102.0	17812939.0	137111626.0	98172589.0	97260828.0	45472480.0	45986243.0	47047580.0	33215069.0	32888309.0	33611702.0
R5P			227948.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148196.0	400594.0		564059.0	853582.0	242578.0			119775.0	125629.0	158982.0	115606.0	543667.0	299225.0	373594.0			119987.0	525878.0	683991.0	594980.0	1203524.0	1147815.0	982978.0
Rib	195034.0	64176.0	80086.0	130733.0	144857.0	356706.0	0.0	0.0	0.0	260357.0	66931.0	376085.0		115791.0	78919.0	162392.0	66321.0	199774.0	286831.0		135429.0	0.0	0.0	0.0	48199.0	86528.0		103589.0	153892.0	308271.0	67999.0		888291.0	222870.0	55090.0	192461.0
S7P		114256.0		211597.0	180435.0	128105.0	95554.0	267665.0	262787.0	0.0	0.0	0.0	271492.0	219639.0	186108.0	63451.0	304015.0	158147.0	0.0	0.0	0.0	0.0	0.0	0.0		111378.0		0.0	0.0	0.0	98192.0			93656.0		
SAM	25054565.0	26964751.0	25262655.0	29901541.0	28845130.0	28406023.0	31555384.0	29074542.0	29832182.0	20588659.0	19890715.0	23258505.0	24145292.0	23108400.0	23813026.0	26273681.0	23147533.0	24155457.0	43078417.0	33730072.0	35389042.0	41748641.0	35669975.0	37015643.0	18029989.0	20354211.0	18922551.0	28527109.0	24584945.0	30096850.0	23335363.0	24527034.0	30962878.0	15987949.0	20904287.0	22983398.0
Sarc	0.0	0.0	0.0	90329520.0	95294601.0	110871002.0	77180756.0	77343378.0	79022653.0	0.0	0.0	0.0	85058243.0	79363858.0	63618647.0	89723130.0	73416190.0	73281993.0	15485438.0	18921102.0	16746846.0	18497004.0	19012812.0	17853478.0	11110475.0	13703747.0	10722303.0	17585236.0	20562008.0	15367740.0	20919777.0	17999162.0	19853921.0	12528039.0	15263282.0	16141138.0
Ser	281940409.0	289868104.0	316152069.0	196603284.0	208930636.0	207942803.0	197013603.0	247150803.0	139987598.0	305006739.0	279382245.0	297321541.0	199170243.0	186584211.0	195480784.0	147658032.0	139514384.0	193362652.0	1091089602.0	896991375.0	781124061.0	716022254.0	668657680.0	887764453.0	1696445500.0	1883707027.0	1309575332.0	789661357.0	667459266.0	704189377.0	413062992.0	453795840.0	422562504.0	1330790417.0	1599997373.0	1623721855.0
Sorbitol	195559775.0	194286210.0	197030809.0	185873700.0	195522937.0	186134964.0	176644557.0	180829163.0	155952396.0	119468013.0	123349226.0	145628387.0	135473567.0	135960910.0	137123961.0	143530976.0	134762359.0	140670956.0	145902688.0	141832428.0	143471693.0	127855883.0	118929482.0	122513226.0	98208538.0	105825670.0	102362487.0	108535422.0	95692769.0	103944838.0	94478573.0	90185690.0	88975169.0	94729658.0	105522350.0	93651733.0
Succ	468583696.0	496152319.0	483544593.0	329086188.0	323338642.0	310391325.0	272621377.0	265466014.0	258539280.0	501647064.0	513638371.0	500164620.0	288019665.0	298241670.0	294667636.0	299774645.0	275485693.0	242787176.0	35494441.0	37670457.0	35484258.0	35198148.0	36606373.0	36108467.0	32973094.0	29834581.0	36120393.0	57587592.0	57940207.0	59238943.0	47125667.0	40865786.0	38520272.0	35244918.0	33229369.0	31831018.0
Thr	760136740.0	606417236.0	618199359.0	1155468292.0	1054279292.0	1083241924.0	1068808060.0	1047593783.0	1017510878.0	619129370.0	570619985.0	685752607.0	1029628590.0	987419159.0	929543323.0	966827858.0	999478547.0	974157982.0	3025077474.0	3446079760.0	3762800512.0	3282710511.0	3257333661.0	3173626841.0	2420459881.0	2384360236.0	2538897566.0	2526480112.0	2923971512.0	3131951192.0	2755500134.0	2656997699.0	2856529648.0	2227686345.0	2170907647.0	2233118261.0
Thymine	10797726.0	10670890.0	14726919.0	10571569.0	9978423.0	9273413.0	10060936.0	8308250.0	4615445.0	6996201.0	7789499.0	10049997.0	7785567.0	5972781.0	12026395.0	5248395.0	6108227.0	7922852.0	5845842.0	4654252.0	4922959.0	5386446.0	2699491.0	4494873.0	1520294.0	2784515.0	2810429.0	6657018.0	5644690.0	4605359.0	5619535.0	5063631.0	2639455.0	6664059.0	7339608.0	2520638.0
Trp	7792243131.0	8222757624.0	7884080567.0	6385839006.0	6033529967.0	5915872314.0	5009554740.0	4952390805.0	4867851635.0	8365045132.0	8649152591.0	7797682747.0	5632926630.0	5724590769.0	5389759750.0	5104555855.0	4800638677.0	4819721667.0	13205501057.0	12946321210.0	11560205348.0	7923315604.0	7767586874.0	7488967990.0	4894100400.0	4952875021.0	5059153743.0	10399174620.0	11059568947.0	10360820140.0	6640209788.0	6509323043.0	6695567108.0	4187959508.0	4273093694.0	4373592830.0
Tyr	7046702455.0	6864704762.0	6636702579.0	5396921299.0	5001565081.0	5250675109.0	4235060520.0	4008420864.0	4048971103.0	7210778666.0	6723506996.0	7132575126.0	4626058063.0	4540212269.0	4404968643.0	4171239965.0	3917853836.0	3855615625.0	29346478116.0	26151134959.0	25656915256.0	18989398050.0	17072025942.0	17348125573.0	8550706371.0	9410742030.0	8769026223.0	22502294294.0	23108917774.0	24187241034.0	15286286219.0	14919389641.0	16987322339.0	7448364181.0	8469004299.0	8690967453.0
Tyramine	48070.0	67379.0		42981.0		22198.0		17301.0	111255.0			43053.0	81126.0	27194.0			28030.0	19473.0		313010.0			494728.0			352181.0	243556.0		135247.0	76764.0	0.0	0.0	0.0	54521.0	150625.0	
Uridine	987506423.0	1086699018.0	1057060379.0	679055142.0	670973058.0	621291533.0	532426780.0	548863585.0	506951197.0	1131611267.0	1117083963.0	1082955677.0	600203795.0	629821520.0	573182411.0	527171153.0	484688040.0	496748070.0	42124514.0	42844085.0	39913454.0	26566553.0	25536822.0	26476176.0	17828953.0	19383712.0	19363115.0	75647213.0	70276215.0	69961470.0	39604182.0	40691117.0	39190788.0	27658739.0	27195069.0	23708593.0
UDP	4505605.0	5028495.0	5203573.0	7734663.0	9530877.0	12049979.0	7250443.0	9052737.0	9923426.0	2867638.0	2265606.0	2630328.0	4981353.0	3655000.0	5440617.0	7768476.0	6960429.0	9630866.0	878238.0	414783.0	949158.0	1259094.0	802796.0	997994.0	1929511.0	1799427.0	1689015.0	838355.0	413956.0	788319.0	3640998.0	4840695.0	3269255.0	5836143.0	6271746.0	7730584.0
UDP-Glc	43779786.0	44323037.0	47454059.0	64424659.0	65108741.0	60650251.0	71613992.0	74149986.0	66394368.0	45418946.0	48025639.0	51908624.0	65319272.0	67907267.0	67677602.0	73702241.0	61473544.0	66859911.0	22658184.0	21062752.0	24442072.0	30297270.0	28693268.0	30107482.0	42040229.0	41382113.0	38429418.0	22124504.0	24625422.0	19209585.0	28746316.0	33062188.0	26970332.0	43124509.0	45498680.0	41315211.0
UDP-GlcNAc	42948477.0	44517339.0	44744252.0	52481064.0	54309421.0	50307634.0	56738533.0	60178726.0	51101543.0	46199410.0	40458784.0	46841548.0	51547570.0	49110489.0	56788173.0	51817958.0	47716119.0	52207892.0	43349108.0	46119254.0	46247832.0	57427550.0	53300383.0	59138568.0	64112328.0	67368550.0	67329910.0	42763382.0	36419929.0	36410522.0	42001037.0	48085099.0	42342164.0	57797858.0	61540048.0	57047746.0
UMP	5002159.0	4986872.0	6279816.0	4795580.0	6317199.0	6933095.0	6235506.0	9051672.0	12051239.0	5396559.0	3108766.0	4242942.0	7352255.0	5555148.0	8079503.0	4731065.0	3635901.0	5230593.0	3898972.0	1419286.0	1838079.0	3098126.0	1785297.0	1950742.0	2764576.0	3287167.0	2273504.0	1371336.0	1038376.0	1697275.0	1398948.0	1983956.0	1598025.0	1455492.0	2396317.0	2557255.0
Uracil	23046941.0	23772024.0	22109250.0	19552109.0	19134864.0	19363844.0	16291743.0	17901932.0	14789281.0	27337722.0	26182075.0	25745572.0	20468512.0	19799891.0	18385673.0	15029192.0	15545404.0	16212386.0	12211692.0	11921618.0	11057795.0	8150285.0	9094827.0	11074552.0	6652447.0	6843917.0	11455397.0	11372726.0	10871091.0	12700394.0	14881141.0	11612751.0	8513897.0	5097846.0	6526007.0	5501699.0
Uric acid	9490068084.0	10547530510.0	10191837457.0	7359475924.0	7580430767.0	7033806343.0	5739882996.0	5986057228.0	5850256359.0	10581446128.0	10568419259.0	10068332648.0	6804103721.0	6973312677.0	7321607435.0	6220155005.0	5949441828.0	5797970328.0	192288078.0	219784635.0	182885318.0	139843680.0	143882081.0	129074401.0	112745275.0	126252239.0	118213252.0	943335609.0	941382625.0	823914672.0	562755940.0	573517690.0	573665187.0	329251444.0	381472426.0	357549562.0
UTP	3391097.0	6695956.0	3472628.0	7337938.0	8996714.0	11314723.0	3734928.0	4161111.0	6281229.0	3068648.0	3397341.0	4067143.0	7048521.0	3027241.0	5912638.0	6847190.0	6511578.0	8393239.0	1469437.0	1598468.0	1761611.0	1657196.0	2341371.0	1768915.0	1080677.0	1398940.0	1544015.0	991744.0	671303.0	275412.0	8427368.0	9318056.0	9162388.0	12160339.0	12110586.0	15048370.0
Val	7078173009.0	7242867439.0	6736055330.0	5868753603.0	5398652447.0	5371566736.0	4554122214.0	4258723110.0	4458560551.0	7517044464.0	7550304217.0	7637901414.0	4938177228.0	5704300193.0	5072798092.0	4599430717.0	4396300104.0	4280970707.0	12686900057.0	13794385776.0	12787116976.0	9725176161.0	9997257851.0	9892411069.0	7877477440.0	7364941626.0	8189521450.0	11563024954.0	12786674260.0	11822815416.0	9288259620.0	8404051157.0	8954369765.0	7018642773.0	6870788329.0	6576821340.0
Xanthine	9197209.0	10486545.0	14278142.0	6949637.0	11394270.0	6527055.0	4835802.0	5872073.0	15799537.0	10435713.0	15395510.0	11546660.0	6750176.0	6402052.0	14570908.0	4728872.0	9775729.0	5798264.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
